,Rk,Team,FG%,FT%,3PM,REB,AST,STL,BLK,TO,PTS,GP,MOVES,date,Unnamed: 0
114,4,,0.4655,0.7784,204,608,303,107,96,196,1828,113.0,4.0,2021-01-10,3.0
14,5,,0.4888,0.8047,150,600,423,93,62,226,1714,114.0,6.0,2021-01-10,4.0
174,6,,0.4584,0.7388,215,688,455,103,49,223,1939,119.0,3.0,2021-01-10,5.0
74,7,,0.4527,0.723,222,639,363,119,63,203,1599,114.0,9.0,2021-01-10,6.0
34,8,,0.4495,0.7816,188,610,377,111,54,195,1627,109.0,3.0,2021-01-10,7.0
154,9,,0.4515,0.7962,184,572,407,106,71,210,1620,109.0,8.0,2021-01-10,8.0
234,10,,0.4765,0.8131,140,517,348,73,53,176,1444,88.0,0.0,2021-01-10,9.0
194,11,,0.4373,0.7976,142,517,329,92,61,168,1362,102.0,1.0,2021-01-10,10.0
254,12,,0.4577,0.7706,166,585,341,86,56,264,1655,101.0,6.0,2021-01-10,11.0
54,13,,0.4436,0.766,134,617,359,86,58,200,1464,103.0,7.0,2021-01-10,12.0
95,1,,0.4907,0.8089,209,608,345,118,79,176,1779,105.0,3.0,2021-01-11,0.0
135,2,,0.5025,0.7044,146,783,445,131,80,266,1799,115.0,7.0,2021-01-11,1.0
215,3,,0.4917,0.7837,162,762,353,98,93,203,1745,118.0,8.0,2021-01-11,2.0
115,4,,0.463,0.7766,215,637,321,109,101,205,1928,121.0,4.0,2021-01-11,3.0
75,5,,0.4535,0.7258,230,668,380,125,68,210,1685,120.0,9.0,2021-01-11,5.0
175,5,,0.4577,0.7413,220,699,466,103,49,229,1988,122.0,3.0,2021-01-11,4.0
155,7,,0.4478,0.7882,196,615,440,110,75,220,1726,116.0,8.0,2021-01-11,6.0
15,8,,0.4899,0.8092,157,637,433,95,63,235,1775,119.0,6.0,2021-01-11,7.0
35,9,,0.4469,0.7727,194,634,397,112,56,201,1679,113.0,4.0,2021-01-11,8.0
255,10,,0.4634,0.7804,190,623,373,99,57,279,1830,110.0,6.0,2021-01-11,9.0
235,11,,0.4788,0.8137,143,529,348,73,53,180,1476,91.0,0.0,2021-01-11,10.0
195,12,,0.4388,0.7976,149,533,337,97,62,173,1403,105.0,1.0,2021-01-11,11.0
55,13,,0.4421,0.7654,140,638,371,87,61,211,1515,106.0,7.0,2021-01-11,12.0
96,1,,0.4926,0.8029,230,686,393,126,91,194,1963,118.0,4.0,2021-01-13,0.0
116,2,,0.4667,0.7685,237,700,346,118,113,224,2101,131.0,4.0,2021-01-13,1.0
216,3,,0.4897,0.7829,181,837,382,108,102,222,1936,131.0,8.0,2021-01-13,2.0
136,4,,0.4987,0.6943,156,840,466,141,88,288,1912,123.0,7.0,2021-01-13,3.0
176,5,,0.4622,0.7548,237,764,523,116,54,257,2200,133.0,3.0,2021-01-13,4.0
76,6,,0.4544,0.727,255,735,405,139,79,233,1838,131.0,10.0,2021-01-13,5.0
16,7,,0.4849,0.8108,166,683,472,108,69,249,1891,127.0,6.0,2021-01-13,6.0
156,8,,0.4482,0.7899,216,663,475,116,85,231,1856,124.0,8.0,2021-01-13,7.0
256,9,,0.4633,0.7945,206,694,402,110,65,303,2007,119.0,7.0,2021-01-13,8.0
36,10,,0.4454,0.7812,208,690,435,121,60,224,1794,123.0,4.0,2021-01-13,9.0
236,11,,0.4757,0.8101,157,576,372,79,56,192,1567,96.0,0.0,2021-01-13,10.0
196,12,,0.4475,0.8038,164,571,380,104,68,191,1551,113.0,2.0,2021-01-13,11.0
56,13,,0.4443,0.7624,152,690,399,95,68,225,1648,117.0,8.0,2021-01-13,12.0
97,1,,0.493,0.8052,231,695,395,126,91,196,1998,120.0,4.0,2021-01-14,0.0
117,2,,0.4642,0.7669,246,726,363,120,114,227,2155,135.0,4.0,2021-01-14,1.0
77,3,,0.4517,0.7286,279,786,431,146,84,244,1974,140.0,11.0,2021-01-14,3.0
137,3,,0.501,0.6919,160,881,489,144,91,295,1984,129.0,8.0,2021-01-14,2.0
177,5,,0.4616,0.7629,248,786,547,122,56,263,2288,138.0,3.0,2021-01-14,4.0
217,6,,0.4881,0.7826,184,841,383,108,103,222,1952,132.0,8.0,2021-01-14,5.0
157,7,,0.4476,0.7947,226,701,491,118,93,240,1932,129.0,8.0,2021-01-14,6.0
17,8,,0.485,0.8037,174,716,482,113,76,257,1955,132.0,6.0,2021-01-14,7.0
257,9,,0.4645,0.7942,215,717,421,114,65,312,2093,125.0,8.0,2021-01-14,8.0
37,10,,0.4435,0.7796,212,699,447,122,60,231,1815,125.0,4.0,2021-01-14,9.0
197,11,,0.4453,0.8041,173,622,419,116,75,205,1657,123.0,2.0,2021-01-14,10.0
57,12,,0.4443,0.7634,166,735,424,102,77,233,1758,124.0,8.0,2021-01-14,11.0
237,13,,0.4751,0.8117,157,601,382,79,60,198,1602,99.0,0.0,2021-01-14,12.0
98,1,,0.4901,0.8039,242,712,416,133,92,206,2065,124.0,4.0,2021-01-15,0.0
218,2,,0.4963,0.784,201,878,405,115,107,238,2083,138.0,8.0,2021-01-15,1.0
78,3,,0.4537,0.7286,287,794,441,152,87,252,2032,144.0,12.0,2021-01-15,3.0
178,3,,0.4614,0.7657,251,809,559,125,56,272,2340,141.0,3.0,2021-01-15,2.0
118,5,,0.4612,0.7616,259,768,376,124,123,240,2246,140.0,5.0,2021-01-15,4.0
158,6,,0.4465,0.7958,230,718,505,124,95,244,1986,133.0,8.0,2021-01-15,5.0
138,7,,0.501,0.6919,160,881,489,144,91,295,1984,129.0,8.0,2021-01-15,6.0
18,8,,0.484,0.8073,178,747,494,116,77,263,1998,135.0,6.0,2021-01-15,7.0
258,9,,0.4619,0.7912,223,737,427,117,65,319,2131,129.0,9.0,2021-01-15,8.0
198,10,,0.4447,0.8031,183,636,430,121,75,215,1711,127.0,2.0,2021-01-15,9.0
38,11,,0.4423,0.7769,216,722,475,128,61,244,1855,129.0,4.0,2021-01-15,10.0
58,12,,0.4443,0.7658,167,755,427,103,79,238,1782,126.0,8.0,2021-01-15,11.0
238,13,,0.4746,0.8135,159,617,395,83,63,204,1639,102.0,0.0,2021-01-15,12.0
99,1,,0.4895,0.8032,246,736,437,139,96,209,2124,128.0,4.0,2021-01-16,0.0
219,2,,0.4974,0.7828,204,909,407,116,113,242,2136,142.0,8.0,2021-01-16,1.0
179,3,,0.4619,0.7592,266,844,582,129,59,284,2451,148.0,3.0,2021-01-16,2.0
119,4,,0.4602,0.7468,267,803,385,128,125,252,2308,145.0,5.0,2021-01-16,3.0
79,5,,0.453,0.7343,292,812,462,159,89,259,2083,148.0,12.0,2021-01-16,5.0
139,5,,0.5003,0.6963,168,944,519,150,94,314,2108,138.0,8.0,2021-01-16,4.0
159,7,,0.4447,0.8,246,754,523,127,97,253,2078,139.0,8.0,2021-01-16,6.0
19,8,,0.4853,0.8044,186,773,508,117,81,275,2073,141.0,6.0,2021-01-16,7.0
259,9,,0.4657,0.7835,238,765,451,125,66,329,2235,134.0,9.0,2021-01-16,8.0
39,10,,0.4443,0.7757,219,746,481,131,61,249,1917,134.0,4.0,2021-01-16,9.0
199,11,,0.447,0.8015,185,654,442,122,77,219,1764,131.0,2.0,2021-01-16,10.0
239,12,,0.4736,0.8108,166,642,416,89,65,213,1710,107.0,0.0,2021-01-16,11.0
59,13,,0.4464,0.7576,183,799,448,107,83,255,1899,132.0,8.0,2021-01-16,12.0
